filename,site,true_class_from_name,pred_class_idx,pred_class_label,pred_conf
EK005132_01_j03_antelope.jpg,j03,antelope,0,waterbuck,0.998925507068634
04100702_d07_antelope.jpg,d07,antelope,4,bushbuck,0.9917569756507874
EK000485_h11_antelope.jpg,h11,antelope,6,elephant,0.6103842854499817
02200966_g06_antelope.jpg,g06,antelope,7,genet,0.3993346691131592
EK001299_j13_antelope.jpg,j13,antelope,0,waterbuck,0.3686981201171875
06120218_f05_antelope.jpg,f05,antelope,2,warthog,0.8415862917900085
2016 07 26 17 28 56_k06_antelope.jpg,k06,antelope,4,bushbuck,0.9503621459007263
EK002573_e06_antelope.jpg,e06,antelope,2,warthog,0.4519132375717163
EK000751_j03_antelope.jpg,j03,antelope,0,waterbuck,0.8687291145324707
EK001300_j13_antelope.jpg,j13,antelope,0,waterbuck,0.4608514606952667
EK002105_03_f07_antelope.jpg,f07,antelope,0,waterbuck,0.6790244579315186
2016 08 28 00 24 49_e08_antelope.jpg,e08,antelope,3,impala,0.9594494104385376
10170068_l05_antelope.jpg,l05,antelope,4,bushbuck,0.8221141695976257
EK001014_f01_antelope.jpg,f01,antelope,0,waterbuck,0.8581745624542236
EK000144_f01_antelope.jpg,f01,antelope,0,waterbuck,0.5067740678787231
2016 07 20 12 42 31_f03_antelope.jpg,f03,antelope,2,warthog,0.9798230528831482
EK006461_h05_antelope.jpg,h05,antelope,0,waterbuck,0.47457441687583923
08040416_g08_antelope.jpg,g08,antelope,3,impala,0.9947928786277771
2016 10 06 17 49 15_e04_antelope.jpg,e04,antelope,0,waterbuck,0.7302464246749878
11120499_k10_antelope.jpg,k10,antelope,4,bushbuck,0.970228910446167
2016 09 22 01 10 07_f01_antelope.jpg,f01,antelope,0,waterbuck,0.7023903131484985
EK001093_k06_antelope.jpg,k06,antelope,3,impala,0.5947169065475464
2016 07 14 18 04 16_c06_antelope.jpg,c06,antelope,4,bushbuck,0.9664719104766846
2016 10 26 17 48 33_e06_antelope.jpg,e06,antelope,2,warthog,0.90129554271698
2016 10 31 06 49 39_h07_antelope.jpg,h07,antelope,1,baboon,0.8767129778862
03290124_k10_antelope.jpg,k10,antelope,1,baboon,0.9771495461463928
2016 10 21 17 52 13_e04_antelope.jpg,e04,antelope,0,waterbuck,0.9734689593315125
2016 09 24 04 30 41_b09_antelope.jpg,b09,antelope,3,impala,0.25947296619415283
05280915_f09_antelope.jpg,f09,antelope,0,waterbuck,0.62758469581604
2016 07 15 05 44 54_c06_antelope.jpg,c06,antelope,4,bushbuck,0.4209415316581726
2016 10 22 00 05 54_e04_antelope.jpg,e04,antelope,0,waterbuck,0.9985287189483643
EK000172_h05_antelope.jpg,h05,antelope,0,waterbuck,0.638757050037384
2016 10 26 05 17 59_c06_antelope.jpg,c06,antelope,3,impala,0.5295528769493103
EK001156_e06_antelope.jpg,e06,antelope,4,bushbuck,0.6989033818244934
03130539_h03_antelope.jpg,h03,antelope,2,warthog,0.7997452616691589
EK002762_h05_antelope.jpg,h05,antelope,0,waterbuck,0.3691527545452118
EK002981_j13_antelope.jpg,j13,antelope,1,baboon,0.987432599067688
EK007784_j03_antelope.jpg,j03,antelope,5,oribi,0.9645848870277405
EK003424_e04_antelope.jpg,e04,antelope,0,waterbuck,0.49793049693107605
2016 07 20 22 03 38_c06_antelope.jpg,c06,antelope,4,bushbuck,0.8111131191253662
2016 10 13 21 28 56_j09_antelope.jpg,j09,antelope,4,bushbuck,0.9733890891075134
EK000071_b07_antelope.jpg,b07,antelope,4,bushbuck,0.7066331505775452
2016 08 15 02 29 56_i12_antelope.jpg,i12,antelope,4,bushbuck,0.26218292117118835
02270977_j07_antelope.jpg,j07,antelope,4,bushbuck,0.9469738602638245
2016 08 17 21 50 10_i14_antelope.jpg,i14,antelope,4,bushbuck,0.8475748300552368
EK000752_e04_antelope.jpg,e04,antelope,3,impala,0.9812387228012085
2016 10 29 17 58 49_e08_antelope.jpg,e08,antelope,10,reedbuck,0.7535828351974487
2016 06 29 07 30 11_f03_antelope.jpg,f03,antelope,2,warthog,0.41066765785217285
EK000254_i08_antelope.jpg,i08,antelope,4,bushbuck,0.9979079961776733
EK005451_e04_antelope.jpg,e04,antelope,1,baboon,0.5400132536888123
2016 07 31 17 20 17_k06_antelope.jpg,k06,antelope,1,baboon,0.9757223725318909
12260924_f09_antelope.jpg,f09,antelope,4,bushbuck,0.9917556047439575
2016 08 23 10 29 59_k04_antelope.jpg,k04,antelope,2,warthog,0.7320679426193237
EK000702_e06_antelope.jpg,e06,antelope,2,warthog,0.7234645485877991
01180162_d05_antelope.jpg,d05,antelope,0,waterbuck,0.8196658492088318
B_EK004198_02_k06_antelope.jpg,k06,antelope,2,warthog,0.7646992802619934
2016 09 01 00 01 07_k06_antelope.jpg,k06,antelope,4,bushbuck,0.9879063367843628
EK002620_b07_antelope.jpg,b07,antelope,4,bushbuck,0.6190709471702576
03270772_g08_antelope.jpg,g08,antelope,2,warthog,0.7268849015235901
04100786_h03_antelope.jpg,h03,antelope,3,impala,0.3029485046863556
EK001150_e06_antelope.jpg,e06,antelope,2,warthog,0.8428066372871399
07140737_e02_antelope.jpg,e02,antelope,0,waterbuck,0.25604650378227234
B_EK007526_02_k06_antelope.jpg,k06,antelope,4,bushbuck,0.7136637568473816
2016 09 17 01 21 41_l07_antelope.jpg,l07,antelope,4,bushbuck,0.7390981912612915
2016 10 25 02 23 31_e06_antelope.jpg,e06,antelope,2,warthog,0.9384298920631409
01290014_b07_antelope.jpg,b07,antelope,2,warthog,0.5263913869857788
EK005261_f07_antelope.jpg,f07,antelope,5,oribi,0.3833843767642975
A_EK006533_k06_antelope.jpg,k06,antelope,2,warthog,0.6337324976921082
2016 10 29 11 13 50_e02_antelope.jpg,e02,antelope,2,warthog,0.5637876391410828
2016 10 13 23 55 00_b07_antelope.jpg,b07,antelope,3,impala,0.6376293301582336
2016 10 21 19 50 45_k06_antelope.jpg,k06,antelope,2,warthog,0.994239091873169
EK001131_f07_antelope.jpg,f07,antelope,2,warthog,0.6051401495933533
EK000344_h11_antelope.jpg,h11,antelope,0,waterbuck,0.9583355188369751
EK000057_f01_antelope.jpg,f01,antelope,7,genet,0.7150043845176697
2016 10 22 18 30 21_d05_antelope.jpg,d05,antelope,8,nyala,0.44841453433036804
2016 08 30 00 54 08_d07_antelope.jpg,d07,antelope,4,bushbuck,0.8810110092163086
EK009268_i08_antelope.jpg,i08,antelope,4,bushbuck,0.918243408203125
2016 09 13 07 10 49_h03_antelope.jpg,h03,antelope,3,impala,0.9270286560058594
03220654_g08_antelope.jpg,g08,antelope,4,bushbuck,0.875499427318573
10290804_k10_antelope.jpg,k10,antelope,4,bushbuck,0.5898383855819702
04150412_k10_antelope.jpg,k10,antelope,4,bushbuck,0.9532917737960815
2016 11 06 20 44 17_a10_antelope.jpg,a10,antelope,4,bushbuck,0.32926416397094727
2016 08 28 00 24 50_e08_antelope.jpg,e08,antelope,0,waterbuck,0.4899020195007324
2016 08 08 00 33 04_k10_antelope.jpg,k10,antelope,4,bushbuck,0.2948256731033325
09010011_m10_antelope.jpg,m10,antelope,4,bushbuck,0.9778643250465393
