filename,site,true_class_from_name,pred_class_idx,pred_class_label,pred_conf
EK000558_h11_bird_other.jpg,h11,bird_other,1,baboon,0.6856932640075684
06290823_h07_bird_other.jpg,h07,bird_other,1,baboon,0.4101666212081909
10310613_a10_bird_other.jpg,a10,bird_other,1,baboon,0.5612366795539856
2016 07 15 13 27 09_a06_bird_other.jpg,a06,bird_other,2,warthog,0.9885031580924988
EK000753_01_f03_bird_other.jpg,f03,bird_other,2,warthog,0.6019307971000671
2016 07 23 14 29 16_e04_bird_other.jpg,e04,bird_other,2,warthog,0.8647753596305847
2016 08 20 12 51 11_k08_bird_other.jpg,k08,bird_other,1,baboon,0.7872692942619324
08220442_l05_bird_other.jpg,l05,bird_other,2,warthog,0.9294466376304626
12160640_l05_bird_other.jpg,l05,bird_other,2,warthog,0.9219321608543396
2016 09 28 17 32 46_a06_bird_other.jpg,a06,bird_other,2,warthog,0.954215407371521
2016 09 10 11 36 22_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8251125812530518
11190194_d03_bird_other.jpg,d03,bird_other,1,baboon,0.8310446739196777
2016 08 20 07 39 49_e10_bird_other.jpg,e10,bird_other,1,baboon,0.7990741729736328
EK001230_h11_bird_other.jpg,h11,bird_other,1,baboon,0.7711275219917297
EK003566_j13_bird_other.jpg,j13,bird_other,1,baboon,0.620415210723877
09160895_f05_bird_other.jpg,f05,bird_other,2,warthog,0.5496432781219482
2016 08 01 12 08 48_i10_bird_other.jpg,i10,bird_other,1,baboon,0.6247101426124573
EK000545_j09_bird_other.jpg,j09,bird_other,2,warthog,0.6259317398071289
10040096_g08_bird_other.jpg,g08,bird_other,2,warthog,0.7180793285369873
EK000899_j09_bird_other.jpg,j09,bird_other,2,warthog,0.43574097752571106
EK000689_h11_bird_other.jpg,h11,bird_other,1,baboon,0.9792185425758362
EK000966_h11_bird_other.jpg,h11,bird_other,1,baboon,0.8227879405021667
2016 08 06 07 30 17_l07_bird_other.jpg,l07,bird_other,2,warthog,0.9334638118743896
EK000941_j03_bird_other.jpg,j03,bird_other,0,waterbuck,0.9728772640228271
EK000841_h11_bird_other.jpg,h11,bird_other,1,baboon,0.8445963859558105
01080235_b07_bird_other.jpg,b07,bird_other,2,warthog,0.5497241020202637
EK001378_j09_bird_other.jpg,j09,bird_other,2,warthog,0.8800302743911743
2016 09 01 06 01 33_e10_bird_other.jpg,e10,bird_other,1,baboon,0.9723018407821655
2016 09 22 12 13 12_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8210820555686951
12260092_e02_bird_other.jpg,e02,bird_other,2,warthog,0.9627774953842163
EK000637_j09_bird_other.jpg,j09,bird_other,11,civet,0.28482499718666077
EK003617_h11_bird_other.jpg,h11,bird_other,1,baboon,0.7654314041137695
2016 09 25 12 27 35_a08_bird_other.jpg,a08,bird_other,1,baboon,0.6975852251052856
2016 09 20 17 27 01_c06_bird_other.jpg,c06,bird_other,20,duiker_common,0.6647250652313232
2016 07 26 14 26 31_a06_bird_other.jpg,a06,bird_other,2,warthog,0.615393877029419
2016 09 15 12 26 06_d07_bird_other.jpg,d07,bird_other,2,warthog,0.8793497681617737
2016 07 20 14 22 22_e04_bird_other.jpg,e04,bird_other,2,warthog,0.9004961848258972
01080234_b07_bird_other.jpg,b07,bird_other,2,warthog,0.9990909099578857
2016 08 03 12 38 16_g08_bird_other.jpg,g08,bird_other,2,warthog,0.6447901129722595
2016 10 19 04 22 46_j09_bird_other.jpg,j09,bird_other,7,genet,0.9943388104438782
10020215_k08_bird_other.jpg,k08,bird_other,2,warthog,0.7372117042541504
2016 08 06 17 03 14_l07_bird_other.jpg,l07,bird_other,6,elephant,0.6228076815605164
12160829_e02_bird_other.jpg,e02,bird_other,2,warthog,0.935053288936615
09120216_k04_bird_other.jpg,k04,bird_other,2,warthog,0.9429332613945007
EK001803_j03_bird_other.jpg,j03,bird_other,0,waterbuck,0.6380454301834106
EK000458_h11_bird_other.jpg,h11,bird_other,1,baboon,0.9248209595680237
2016 08 02 10 57 48_h07_bird_other.jpg,h07,bird_other,1,baboon,0.3546872138977051
